222001001,210112022,210112001,NULL,NULL,NULL,1103003,NULL,NULL,NULL,LM,0x0000000000001131
222001002,210112022,210112002,NULL,NULL,NULL,1104004,NULL,NULL,NULL,LM,0x0000000000001132
222001003,210112020,210112004,NULL,NULL,NULL,1111005,NULL,NULL,NULL,LM,0x0000000000001133
222001004,210112019,210112008,NULL,NULL,NULL,1103003,NULL,NULL,NULL,LM,0x0000000000001134
222001005,210112013,210112010,NULL,NULL,NULL,1104004,NULL,NULL,NULL,LM,0x0000000000001135
222001006,210112019,210112011,NULL,NULL,NULL,1111005,NULL,NULL,NULL,LM,0x0000000000001136
222001007,210112022,210112030,NULL,NULL,NULL,1103003,NULL,NULL,NULL,LM,0x0000000000001137
222001008,210112020,210112031,NULL,NULL,NULL,1104004,NULL,NULL,NULL,LM,0x0000000000001138
222001009,210112013,210112032,NULL,NULL,NULL,1111005,NULL,NULL,NULL,LM,0x0000000000001139
222001010,210112012,210112038,NULL,NULL,NULL,1103003,NULL,NULL,NULL,LM,0x000000000000113A
222001011,210112019,210112039,NULL,NULL,NULL,1104004,NULL,NULL,NULL,LM,0x000000000000113B
