8,Alcoholic beverages
4,Animal feed
33,Articles-base metal
32,Base metals
20,Basic chemicals
10,Building stone
2,Cereal grains
23,Chemical prods.
15,Coal
19,Coal-n.e.c.
16,Crude petroleum
100,Electricity
35,Electronics
22,Fertilizers
18,Fuel oils
39,Furniture
17,"Gasoline "
12,Gravel
1,Live animals/fish
25,Logs
34,Machinery
5,Meat/seafood
14,Metallic ores
6,Milled grain prods.
40,Misc. Mfg. prods.
43,Mixed freight
36,Motorized vehicles
196,Natural Gas
11,Natural sands
27,Newsprint/paper
31,Nonmetal min. prods.
13,Nonmetallic minerals
3,Other ag prods.
7,Other foodstuffs
28,Paper articles
21,Pharmaceuticals
24,Plastics/rubber
38,Precision instruments
29,Printed prods.
800,Services
30,Textiles/leather
9,Tobacco prods.
37,Transport equip.
41,Waste/scrap
999,Water
26,Wood prods.
